Age,Age_Group,Attrition,Department,Job Role,Gender,Monthly Income,Salary_Band,TotalWorkingYears,Years At Company,Experience_Group
18,Under 25,No,Research & Development,Laboratory Technician,Female,1611,Low,0,0,0-3 Years
18,Under 25,No,Research & Development,Research Scientist,Female,1514,Low,0,0,0-3 Years
18,Under 25,No,Research & Development,Research Scientist,Male,1051,Low,0,0,0-3 Years
18,Under 25,No,Sales,Sales Representative,Female,1200,Low,0,0,0-3 Years
18,Under 25,Yes,Research & Development,Laboratory Technician,Male,1420,Low,0,0,0-3 Years
18,Under 25,Yes,Research & Development,Laboratory Technician,Male,1904,Low,0,0,0-3 Years
18,Under 25,Yes,Sales,Sales Representative,Female,1569,Low,0,0,0-3 Years
18,Under 25,Yes,Sales,Sales Representative,Male,1878,Low,0,0,0-3 Years
19,Under 25,No,Research & Development,Laboratory Technician,Female,1483,Low,1,1,0-3 Years
19,Under 25,No,Research & Development,Research Scientist,Female,2994,Low,1,1,0-3 Years
19,Under 25,No,Research & Development,Research Scientist,Male,2552,Low,1,1,0-3 Years
19,Under 25,Yes,Human Resources,Human Resources,Male,2564,Low,1,1,0-3 Years
19,Under 25,Yes,Research & Development,Laboratory Technician,Male,1102,Low,1,1,0-3 Years
19,Under 25,Yes,Research & Development,Research Scientist,Female,1859,Low,1,1,0-3 Years
19,Under 25,Yes,Sales,Sales Representative,Female,2325,Low,1,0,0-3 Years
19,Under 25,Yes,Sales,Sales Representative,Male,1675,Low,0,0,0-3 Years
19,Under 25,Yes,Sales,Sales Representative,Male,2121,Low,1,1,0-3 Years
20,Under 25,No,Research & Development,Laboratory Technician,Male,3033,Medium,2,2,0-3 Years
20,Under 25,No,Research & Development,Research Scientist,Female,2836,Low,1,1,0-3 Years
20,Under 25,No,Sales,Sales Representative,Female,2783,Low,2,2,0-3 Years
20,Under 25,No,Sales,Sales Representative,Male,2678,Low,2,2,0-3 Years
20,Under 25,No,Sales,Sales Representative,Male,2728,Low,2,2,0-3 Years
20,Under 25,Yes,Research & Development,Laboratory Technician,Female,2926,Low,1,1,0-3 Years
20,Under 25,Yes,Research & Development,Laboratory Technician,Male,2973,Low,1,1,0-3 Years
20,Under 25,Yes,Research & Development,Research Scientist,Female,2600,Low,1,1,0-3 Years
20,Under 25,Yes,Research & Development,Research Scientist,Male,1009,Low,1,1,0-3 Years
20,Under 25,Yes,Sales,Sales Representative,Female,2044,Low,2,2,0-3 Years
20,Under 25,Yes,Sales,Sales Representative,Female,2323,Low,2,2,0-3 Years
21,Under 25,No,Research & Development,Research Scientist,Female,2070,Low,2,2,0-3 Years
21,Under 25,No,Research & Development,Research Scientist,Male,1232,Low,0,0,0-3 Years
21,Under 25,No,Research & Development,Research Scientist,Male,3117,Medium,3,2,0-3 Years
21,Under 25,No,Research & Development,Research Scientist,Male,3230,Medium,3,3,0-3 Years
21,Under 25,No,Sales,Sales Representative,Male,2380,Low,2,2,0-3 Years
21,Under 25,No,Sales,Sales Representative,Male,2610,Low,3,3,0-3 Years
21,Under 25,No,Sales,Sales Representative,Male,3447,Medium,3,3,0-3 Years
21,Under 25,Yes,Research & Development,Laboratory Technician,Female,1416,Low,1,1,0-3 Years
21,Under 25,Yes,Research & Development,Laboratory Technician,Female,2625,Low,2,2,0-3 Years
21,Under 25,Yes,Research & Development,Research Scientist,Female,2693,Low,1,1,0-3 Years
21,Under 25,Yes,Sales,Sales Representative,Female,2174,Low,3,3,0-3 Years
21,Under 25,Yes,Sales,Sales Representative,Female,2716,Low,1,1,0-3 Years
21,Under 25,Yes,Sales,Sales Representative,Male,2679,Low,1,1,0-3 Years
22,Under 25,No,Research & Development,Laboratory Technician,Female,2871,Low,1,0,0-3 Years
22,Under 25,No,Research & Development,Laboratory Technician,Male,2451,Low,4,4,4-7 Years
22,Under 25,No,Research & Development,Laboratory Technician,Male,2523,Low,3,2,0-3 Years
22,Under 25,No,Research & Development,Laboratory Technician,Male,2935,Low,1,1,0-3 Years
22,Under 25,No,Research & Development,Manufacturing Director,Male,4775,Medium,4,2,4-7 Years
22,Under 25,No,Research & Development,Research Scientist,Female,2244,Low,2,2,0-3 Years
22,Under 25,No,Research & Development,Research Scientist,Female,2814,Low,4,4,4-7 Years
22,Under 25,No,Research & Development,Research Scientist,Male,2323,Low,2,2,0-3 Years
22,Under 25,No,Research & Development,Research Scientist,Male,2328,Low,4,4,4-7 Years
22,Under 25,No,Research & Development,Research Scientist,Male,2773,Low,3,2,0-3 Years
22,Under 25,No,Research & Development,Research Scientist,Male,3375,Medium,4,3,4-7 Years
22,Under 25,Yes,Research & Development,Laboratory Technician,Female,2398,Low,1,1,0-3 Years
22,Under 25,Yes,Research & Development,Laboratory Technician,Male,3894,Medium,4,2,4-7 Years
22,Under 25,Yes,Research & Development,Manufacturing Director,Female,4171,Medium,4,3,4-7 Years
22,Under 25,Yes,Research & Development,Research Scientist,Male,2472,Low,1,1,0-3 Years
22,Under 25,Yes,Research & Development,Research Scientist,Male,2853,Low,1,0,0-3 Years
23,Under 25,No,Research & Development,Laboratory Technician,Female,3295,Medium,3,3,0-3 Years
23,Under 25,No,Research & Development,Laboratory Technician,Male,2272,Low,5,4,4-7 Years
23,Under 25,No,Research & Development,Laboratory Technician,Male,2500,Low,5,4,4-7 Years
23,Under 25,No,Research & Development,Laboratory Technician,Male,2647,Low,5,5,4-7 Years
23,Under 25,No,Research & Development,Research Scientist,Male,1223,Low,1,1,0-3 Years
23,Under 25,No,Research & Development,Research Scientist,Male,2073,Low,4,2,4-7 Years
23,Under 25,No,Research & Development,Research Scientist,Male,2819,Low,5,3,4-7 Years
23,Under 25,No,Research & Development,Research Scientist,Male,2904,Low,4,4,4-7 Years
23,Under 25,No,Research & Development,Research Scientist,Male,3505,Medium,2,2,0-3 Years
23,Under 25,No,Sales,Sales Representative,Male,2322,Low,3,0,0-3 Years
23,Under 25,Yes,Research & Development,Laboratory Technician,Male,1601,Low,1,0,0-3 Years
23,Under 25,Yes,Research & Development,Laboratory Technician,Male,3989,Medium,5,5,4-7 Years
